,1,75,0,1,78,0,1,77,1,1,78,0,1,77,0,1,72,0,1,68,0,1,80,0,1,78,0,1,75,0,1,76,0,1,74,0,1,79,1,1,75,0,1,79,0,1,73,2,1,77,0,1,79,0,1,79,0,1,80,0,1,76,0,1,75,0,1,77,0,1,78,0,1,75,0,1,80,0,1,77,0,1,77,0,1,80,0,1,80,0,1,77,0,1,75,0,1,76,0,1,78,2,1,79,0,1,79,1,1,77,0,1,80,0,1,80,0,1,80,0,1,73,0,1,75,1,1,77,0,1,77,0,1,80,0,1,75,0,1,77,0,1,72,0,1,76,1,1,77,0
,2,75,0,2,78,0,2,77,1,2,78,0,2,77,0,2,70,2,2,68,0,2,80,0,2,78,0,2,75,0,2,76,0,2,74,0,2,79,1,2,74,1,2,79,0,2,72,3,2,77,0,2,79,0,2,79,0,2,80,0,2,76,0,2,75,0,2,77,0,2,78,0,2,75,0,2,80,0,2,77,0,2,77,0,2,80,0,2,80,0,2,77,0,2,75,0,2,76,0,2,77,3,2,79,0,2,78,2,2,77,0,2,80,0,2,80,0,2,80,0,2,73,0,2,73,3,2,77,0,2,76,1,2,80,0,2,75,0,2,77,0,2,72,0,2,76,1,2,77,0
,3,75,0,3,78,0,3,76,2,3,77,1,3,77,0,3,70,2,3,68,0,3,80,0,3,78,0,3,75,0,3,75,1,3,74,0,3,79,1,3,74,1,3,79,0,3,71,4,3,77,0,3,79,0,3,79,0,3,80,0,3,76,0,3,75,0,3,77,0,3,78,0,3,75,0,3,80,0,3,77,0,3,77,0,3,80,0,3,80,0,3,76,1,3,75,0,3,76,0,3,77,3,3,79,0,3,78,2,3,76,1,3,80,0,3,79,1,3,80,0,3,73,0,3,73,3,3,77,0,3,76,1,3,80,0,3,75,0,3,77,0,3,72,0,3,76,1,3,77,0
,4,75,0,4,78,0,4,75,3,4,76,2,4,77,0,4,70,2,4,68,0,4,80,0,4,78,0,4,75,0,4,75,1,4,74,0,4,79,1,4,74,1,4,79,0,4,71,4,4,77,0,4,79,0,4,79,0,4,80,0,4,76,0,4,75,0,4,77,0,4,78,0,4,75,0,4,80,0,4,77,0,4,77,0,4,79,1,4,80,0,4,76,1,4,75,0,4,76,0,4,77,3,4,79,0,4,78,2,4,75,2,4,80,0,4,79,1,4,80,0,4,73,0,4,72,4,4,77,0,4,76,1,4,80,0,4,75,0,4,77,0,4,72,0,4,76,1,4,77,0
,5,75,0,5,78,0,5,75,3,5,75,3,5,77,0,5,70,2,5,68,0,5,80,0,5,78,0,5,75,0,5,74,2,5,74,0,5,79,1,5,74,1,5,79,0,5,71,4,5,77,0,5,79,0,5,79,0,5,80,0,5,76,0,5,75,0,5,77,0,5,78,0,5,75,0,5,80,0,5,77,0,5,77,0,5,79,1,5,79,1,5,76,1,5,75,0,5,75,1,5,76,4,5,79,0,5,78,2,5,75,2,5,80,0,5,79,1,5,80,0,5,73,0,5,72,4,5,77,0,5,75,2,5,80,0,5,75,0,5,77,0,5,72,0,5,76,1,5,77,0
,6,75,0,6,78,0,6,75,3,6,75,3,6,77,0,6,69,3,6,68,0,6,80,0,6,78,0,6,75,0,6,74,2,6,74,0,6,79,1,6,74,1,6,79,0,6,71,4,6,77,0,6,79,0,6,79,0,6,80,0,6,76,0,6,75,0,6,77,0,6,78,0,6,75,0,6,80,0,6,77,0,6,76,1,6,78,2,6,79,1,6,75,2,6,75,0,6,75,1,6,76,4,6,79,0,6,78,2,6,74,3,6,80,0,6,79,1,6,80,0,6,73,0,6,71,5,6,77,0,6,75,2,6,80,0,6,75,0,6,77,0,6,72,0,6,75,2,6,77,0
,7,75,0,7,78,0,7,74,4,7,74,4,7,76,1,7,69,3,7,68,0,7,80,0,7,78,0,7,75,0,7,72,4,7,74,0,7,79,1,7,74,1,7,79,0,7,70,5,7,76,1,7,79,0,7,79,0,7,80,0,7,76,0,7,75,0,7,77,0,7,78,0,7,75,0,7,80,0,7,77,0,7,76,1,7,78,2,7,79,1,7,74,3,7,75,0,7,74,2,7,76,4,7,79,0,7,78,2,7,73,4,7,80,0,7,79,1,7,80,0,7,73,0,7,71,5,7,77,0,7,75,2,7,80,0,7,75,0,7,76,1,7,72,0,7,75,2,7,77,0
,8,75,0,8,78,0,8,74,4,8,74,4,8,76,1,8,69,3,8,68,0,8,80,0,8,78,0,8,75,0,8,71,5,8,74,0,8,79,1,8,74,1,8,79,0,8,70,5,8,76,1,8,79,0,8,79,0,8,80,0,8,76,0,8,75,0,8,77,0,8,78,0,8,75,0,8,80,0,8,77,0,8,76,1,8,78,2,8,79,1,8,74,3,8,75,0,8,74,2,8,76,4,8,79,0,8,78,2,8,73,4,8,80,0,8,79,1,8,80,0,8,73,0,8,70,6,8,77,0,8,75,2,8,80,0,8,75,0,8,76,1,8,72,0,8,74,3,8,77,0
,9,75,0,9,78,0,9,74,4,9,74,4,9,76,1,9,69,3,9,68,0,9,80,0,9,78,0,9,75,0,9,71,5,9,74,0,9,79,1,9,74,1,9,79,0,9,70,5,9,76,1,9,79,0,9,79,0,9,80,0,9,76,0,9,75,0,9,77,0,9,78,0,9,75,0,9,80,0,9,77,0,9,76,1,9,78,2,9,78,2,9,74,3,9,75,0,9,74,2,9,76,4,9,79,0,9,78,2,9,72,5,9,80,0,9,79,1,9,80,0,9,73,0,9,70,6,9,77,0,9,75,2,9,80,0,9,75,0,9,76,1,9,71,1,9,74,3,9,77,0
,10,75,0,10,78,0,10,74,4,10,73,5,10,75,2,10,69,3,10,67,1,10,80,0,10,78,0,10,75,0,10,71,5,10,74,0,10,79,1,10,74,1,10,78,1,10,69,6,10,75,2,10,78,1,10,79,0,10,80,0,10,76,0,10,75,0,10,77,0,10,78,0,10,75,0,10,80,0,10,77,0,10,76,1,10,77,3,10,78,2,10,74,3,10,75,0,10,73,3,10,75,5,10,79,0,10,78,2,10,72,5,10,80,0,10,79,1,10,80,0,10,73,0,10,70,6,10,77,0,10,75,2,10,80,0,10,75,0,10,75,2,10,71,1,10,74,3,10,76,1
